userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
26,0,4,2,341,160,0.2,1,1,12
41,0,0,4,408,586,0.6,1,1,1
41,0,0,4,408,586,0.9,1,1,6
41,0,0,4,408,586,0.4,1,1,4
41,0,0,4,408,586,0.2,1,1,3
41,0,0,4,408,586,0.2,1,1,1
0,0,2,1,347,600,0.2,0,0,0
0,0,2,1,347,600,0.1,1,1,2
0,0,2,1,347,600,0.1,0,0,0
0,0,2,1,347,600,0.4,1,1,13
12,0,1,3,435,306,0.1,1,1,4
12,0,1,3,435,306,0.0,0,0,0
12,0,1,3,435,306,0.0,0,0,0
12,0,1,3,435,306,0.0,0,0,0
12,0,1,3,435,306,0.0,0,0,0
12,0,1,3,435,306,0.1,1,1,3
12,0,1,3,435,306,0.0,1,1,1
29,0,0,4,408,561,0.1,1,1,3
29,0,0,4,408,561,0.4,1,1,14
29,0,0,4,408,561,0.6,0,0,0
29,0,0,4,408,561,0.2,1,1,5
15,0,0,2,341,351,0.0,0,0,0
15,0,0,2,341,351,0.3,1,1,1
15,0,0,2,341,351,0.0,0,0,0
15,0,0,2,341,351,0.3,1,1,2
48,0,1,4,408,216,0.0,0,0,0
48,0,1,4,408,216,0.4,0,0,0
48,0,1,4,408,216,0.2,1,1,2
48,0,1,4,408,216,0.4,1,1,2
48,0,1,4,408,216,0.4,1,1,2
39,0,1,1,347,182,0.2,0,0,0
39,0,1,1,347,182,0.3,1,1,1
39,0,1,1,347,182,0.0,1,1,1
39,0,1,1,347,182,0.1,1,1,1
39,0,1,1,347,182,0.2,1,1,1
39,0,1,1,347,182,0.0,1,1,2
24,0,4,4,408,299,0.6,1,1,1
24,0,4,4,408,299,0.3,1,1,7
42,0,0,3,435,406,0.0,1,1,4
42,0,0,3,435,406,0.1,1,1,15
23,0,0,2,341,413,0.2,1,1,3
23,0,0,2,341,413,0.0,0,0,0
23,0,0,2,341,413,0.1,1,1,2
23,0,0,2,341,413,0.3,1,1,3
23,0,0,2,341,413,0.0,0,0,0
23,0,0,2,341,413,0.3,1,1,2
0,0,4,4,408,657,0.2,1,1,3
0,0,4,4,408,657,0.3,1,1,16
0,0,4,4,408,657,0.1,1,1,1
40,0,1,1,347,178,0.1,1,1,6
40,0,1,1,347,178,0.0,0,0,0
40,0,1,1,347,178,0.1,1,1,1
12,0,0,4,408,428,0.4,0,0,0
12,0,0,4,408,428,0.3,1,1,1
12,0,0,4,408,428,0.2,0,0,0
12,0,0,4,408,428,0.2,0,0,0
12,0,0,4,408,428,0.3,0,0,0
12,0,0,4,408,428,0.1,0,0,0
12,0,0,4,408,428,0.4,1,1,2
12,0,0,4,408,428,0.1,0,0,0
12,0,0,4,408,428,0.1,0,0,0
5,0,0,1,347,279,0.2,1,1,13
21,0,0,1,347,216,0.0,0,0,0
21,0,0,1,347,216,0.0,1,1,1
21,0,0,1,347,216,0.1,1,1,4
22,0,4,2,341,300,0.2,1,1,2
22,0,4,2,341,300,0.2,0,0,0
28,0,2,2,341,342,0.2,1,1,2
28,0,2,2,341,342,0.2,1,1,1
28,0,2,2,341,342,0.1,1,1,1
28,0,2,2,341,342,0.2,1,1,1
28,0,2,2,341,342,0.2,1,1,2
28,0,2,2,341,342,0.2,0,0,0
28,0,2,2,341,342,0.2,0,0,0
25,0,1,1,347,452,0.1,1,1,1
25,0,1,1,347,452,0.1,1,1,2
25,0,1,1,347,452,0.3,1,1,4
25,0,1,1,347,452,0.0,1,1,1
25,0,1,1,347,452,0.4,0,0,0
35,0,1,4,408,297,0.2,1,1,4
35,0,1,4,408,297,0.4,1,1,2
37,0,2,2,341,200,0.4,1,1,1
37,0,2,2,341,200,0.4,1,1,3
37,0,2,2,341,200,0.0,1,1,1
37,0,2,2,341,200,0.1,1,1,3
37,0,2,2,341,200,0.4,1,1,1
18,0,0,4,408,424,0.3,0,0,0
18,0,0,4,408,424,0.1,1,1,3
18,0,0,4,408,424,0.0,0,0,0
18,0,0,4,408,424,0.6,1,1,15
30,0,4,1,347,313,0.1,1,1,12
45,0,0,3,435,917,0.2,1,1,8
45,0,0,3,435,917,0.6,1,1,6
36,0,0,3,435,485,0.2,1,1,1
36,0,0,3,435,485,0.1,0,0,0
36,0,0,3,435,485,0.5,1,1,5
7,0,1,1,347,21,0.1,1,1,1
43,0,1,3,435,383,0.2,1,1,14
46,0,4,4,408,201,0.0,0,0,0
46,0,4,4,408,201,0.2,0,0,0
46,0,4,4,408,201,0.7,1,1,5
43,0,2,2,341,503,0.2,1,1,2
43,0,2,2,341,503,0.0,0,0,0
43,0,2,2,341,503,0.2,1,1,1
43,0,2,2,341,503,0.2,1,1,1
43,0,2,2,341,503,0.0,0,0,0
43,0,2,2,341,503,0.2,1,1,4
33,0,2,1,347,189,0.5,1,1,11
32,0,1,2,341,515,0.2,1,1,1
32,0,1,2,341,515,0.2,1,1,1
32,0,1,2,341,515,0.2,1,1,11
32,0,1,2,341,515,0.2,1,1,4
32,0,1,2,341,515,0.1,1,1,1
49,0,2,1,347,317,0.3,1,1,12
11,0,2,2,341,393,0.3,0,0,0
11,0,2,2,341,393,0.3,0,0,0
11,0,2,2,341,393,0.0,0,0,0
11,0,2,2,341,393,0.1,1,1,5
11,0,2,2,341,393,0.1,1,1,7
13,0,0,2,341,760,0.2,1,1,2
13,0,0,2,341,760,0.2,0,0,0
13,0,0,2,341,760,0.0,0,0,0
13,0,0,2,341,760,0.0,0,0,0
13,0,0,2,341,760,0.2,1,1,1
13,0,0,2,341,760,0.1,0,0,0
13,0,0,2,341,760,0.1,1,1,4
13,0,0,2,341,760,0.3,1,1,1
13,0,0,2,341,760,0.2,0,0,0
13,0,0,2,341,760,0.0,0,0,0
13,0,0,2,341,760,0.0,0,0,0
13,0,0,2,341,760,0.0,0,0,0
13,0,0,2,341,760,0.1,0,0,0
37,0,4,3,435,137,0.2,1,1,1
37,0,4,3,435,137,0.1,1,1,1
37,0,4,3,435,137,0.2,0,0,0
37,0,4,3,435,137,0.0,1,1,2
37,0,4,3,435,137,0.2,1,1,2
33,0,1,4,408,315,0.2,0,0,0
33,0,1,4,408,315,0.0,0,0,0
33,0,1,4,408,315,0.0,0,0,0
33,0,1,4,408,315,0.0,0,0,0
33,0,1,4,408,315,0.1,1,1,3
33,0,1,4,408,315,0.0,0,0,0
33,0,1,4,408,315,0.0,0,0,0
33,0,1,4,408,315,0.0,1,1,5
8,0,1,1,347,425,0.2,1,1,11
8,0,1,1,347,425,0.6,1,1,2
44,0,4,1,347,259,0.2,1,1,7
44,0,4,1,347,259,0.4,0,0,0
44,0,4,1,347,259,0.1,0,0,0
8,0,0,2,341,394,0.2,1,1,2
8,0,0,2,341,394,0.3,1,1,4
8,0,0,2,341,394,0.4,1,1,2
20,0,1,4,408,524,0.0,0,0,0
20,0,1,4,408,524,0.2,1,1,2
20,0,1,4,408,524,0.2,0,0,0
20,0,1,4,408,524,0.2,0,0,0
20,0,1,4,408,524,0.3,1,1,17
45,0,4,1,347,744,0.0,0,0,0
45,0,4,1,347,744,0.1,1,1,2
45,0,4,1,347,744,0.3,1,1,3
45,0,4,1,347,744,0.3,1,1,5
45,0,4,1,347,744,0.6,0,0,0
20,0,4,3,435,152,0.5,1,1,7
6,0,2,4,408,506,0.2,0,0,0
6,0,2,4,408,506,0.0,1,1,6
6,0,2,4,408,506,0.1,1,1,12
6,0,2,4,408,506,0.1,1,1,1
31,0,0,3,435,208,0.1,1,1,1
31,0,0,3,435,208,0.0,0,0,0
