user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
5,0.00,4,2,341,24.00,30.00,1.25,18.00,0.75,3.25,8.00,1.29,1.03,7.42,6.83,22.00,142.00,4.00,4.00,6.00,12.00,1,165.84,509.97,240.38,13.78,13.78,138.73,82.11,6.91,13.35,17.00,2.87,1.72,1.72,4.62,2.74,0.67,0.33,0.27,0.08
5,0.00,1,3,435,3.00,12.00,4.00,16.00,5.33,31.33,9.00,30.67,7.67,49.67,35.67,16.00,91.00,2.00,7.00,4.00,12.00,0,16.67,341.80,207.50,14.25,14.25,56.04,56.04,5.56,12.97,28.48,2.29,1.58,1.58,4.67,4.67,0.50,0.58,0.25,0.13
5,0.00,2,4,408,11.00,19.00,1.73,14.00,1.27,7.64,10.00,7.45,4.32,14.82,11.45,23.00,103.00,2.00,8.00,3.00,11.00,3,51.90,355.93,142.12,31.96,9.79,88.40,54.62,4.72,10.15,18.73,2.18,3.20,0.98,4.65,2.87,0.67,0.73,0.13,0.11
4,0.00,2,0,367,3.00,4.00,1.33,4.00,1.33,2.00,4.00,2.00,1.50,21.67,8.00,3.00,11.00,3.00,1.00,3.00,1.00,1,15.83,66.62,26.40,6.98,6.98,14.48,14.48,5.28,6.60,16.66,1.02,1.75,1.75,3.62,3.62,1.00,1.00,1.00,0.09
4,0.00,3,1,347,4.00,8.00,2.00,17.00,4.25,18.00,5.00,15.50,7.75,58.00,25.75,11.00,92.00,2.00,3.00,4.00,13.00,2,28.87,237.90,182.72,20.31,9.55,36.99,36.99,7.22,10.75,29.74,1.03,4.06,1.91,4.62,4.62,0.50,0.23,0.36,0.14
4,0.00,2,2,341,10.00,13.00,1.30,28.00,2.80,3.20,6.00,2.00,1.54,13.10,5.20,6.00,46.00,1.00,5.00,6.00,22.00,7,119.10,154.03,424.36,16.36,16.36,46.59,37.45,11.91,15.16,11.85,1.18,2.73,2.73,3.58,2.88,0.17,0.23,1.00,0.48
4,0.00,4,3,435,7.00,23.00,3.29,10.00,1.43,8.14,6.00,8.14,2.48,36.86,29.71,26.00,182.00,3.00,3.00,6.00,4.00,1,39.08,285.79,141.59,9.02,9.02,37.47,37.47,5.58,14.16,12.43,1.11,1.50,1.50,1.63,1.63,0.50,0.75,0.23,0.02
4,0.00,1,4,408,5.00,12.00,2.40,18.00,3.60,20.20,7.00,17.60,7.33,42.00,25.60,25.00,103.00,3.00,4.00,3.00,15.00,1,30.85,180.12,212.56,13.12,13.12,39.15,33.80,6.17,11.81,15.01,0.86,1.87,1.87,3.26,2.82,1.00,0.27,0.12,0.15
7,0.00,2,0,367,1.00,2.00,2.00,4.00,4.00,11.00,4.00,11.00,5.50,64.00,20.00,0.00,0.00,0.00,4.00,0.00,4.00,0,9.59,108.55,17.30,9.50,2.79,3.96,3.96,9.59,4.33,54.27,1.70,2.38,0.70,1.98,1.98,0.00,1.00,0.00,0.00
7,0.00,3,3,435,2.00,3.00,1.50,5.00,2.50,12.00,4.00,12.00,8.00,23.00,13.50,14.00,13.00,3.00,1.00,3.00,2.00,0,17.94,52.27,45.06,2.95,2.95,10.43,10.43,8.97,9.01,17.42,1.14,0.74,0.74,3.48,3.48,1.00,0.50,0.21,0.15
